Gene,T1,T2,T3,T4,T5
SPATA2,0.061630447,0.036812302,0.215979563,0.092481343,0.018761622
SPATA20,-0.055787102,-0.163429915,-0.163429915,-0.149538506,-0.088516398
SPATA21,0,0,0.033832292,0,0
SPATA24,-0.023039235,0.002790857,0.030125649,-0.016650444,-0.039193991
SPATA2L,-0.094076406,-0.094076406,0.032126859,-0.008153135,0.018253613
SPATA33,0.080020123,0.26476556,0.105221763,0.110964644,0.124582298
SPATA41,0,0,0,0,0
SPATA45,0,0,0,0,0
SPATA5,-0.051370651,0.229183519,-0.051370651,-0.031111617,-0.051370651
SPATA5L1,0.044628145,0,0.153052657,0.036269244,0
SPATA6,0.132163742,0,0.04780343,0.017396834,0
SPATA6L,0,0,0,0,0
SPATA7,0.075076045,0,0,0,0.016594023
SPATA9,0,0,0,0,0
SPATC1L,0.222766243,-0.13437462,-0.010567882,-0.075696877,0.011300093
SPATS2,0.038229489,0.032588799,-0.181375227,-0.024649013,0.314882075
SPATS2L,-0.10794548,-0.138803143,-0.138803143,-0.138803143,-0.06166912
SPC24,0.180414923,1.118356166,-0.042349931,-0.042349931,-0.042349931
SPC25,0.137063181,0.250603552,0,0,0
SPCS1,0.345016912,-0.00545611,-0.130993138,-0.077517946,1.279083725
SPCS2,0.143336941,0.491325798,-0.021625951,-0.207955069,1.173504371
SPCS3,0.425535952,0.403478504,0.254280142,0.276008271,1.581173229
SPDL1,0.093874224,0.162540462,0,0.04920822,0.016594023
SPDYA,-0.005495556,-0.057578425,-0.016046604,-0.042671338,-0.057578425
SPDYE1,0,0,0,0,0.013729962
SPDYE16,0,0,0,0,0
SPDYE3,0.044416536,0,0,0,0
SPDYE5,0,0,0,0,0
SPECC1,0.066134509,-0.082765053,-0.007530336,0.010610205,-0.049638885
SPECC1L,0.029300048,0.008833321,-0.048602277,-0.027759262,-0.048602277
SPEF2,-0.051100232,-0.109710123,-0.109710123,-0.109710123,-0.109710123
SPEG,0,0,0,0,0
SPEN,0.148891666,0.056706606,0.132944798,0.04049223,-0.046926819
SPESP1,0,0,0,0,0
SPG11,-0.048076845,-0.132660181,0.116219049,0.026012833,-0.083652214
SPG20,-0.002985254,-0.361757645,-0.204140318,-0.285624468,-0.341134166
SPG20-AS1,0,0,0,0,0
SPG21,0.341031094,0.14849109,-0.046534171,-0.080668172,-0.175368965
SPG7,0.029390524,-0.049288547,0.161883115,-0.128494097,-0.175102751
SPHK1,0.064133883,0.162540462,0,0,0.035018902
SPHK2,-0.048602277,-0.048602277,-0.003984346,0.017112566,-0.04246788
SPI1,0.608847088,-0.200985906,-0.131425648,-0.210837877,-0.36533054
SPIB,0.204870939,0.846448586,0.317167317,0.473170723,0
SPICE1,0.023543427,0,0,0.015080615,0.013812197
SPIDR,0.05001833,-0.034917717,-0.075629557,-0.055243828,-0.101766289
SPIN1,0.099365447,0.809269171,0.046124985,-0.089291577,-0.124905242
SPIN2A,0,0,0,0,0
SPIN2B,-0.136781844,-0.197825371,-0.14930875,-0.176693279,-0.103131056
SPIN3,0,0,0,0,0
SPIN4,-0.075415629,0.060712873,-0.075415629,-0.075415629,-0.063153704
SPINK2,0.038586127,-2.924414203,-2.787950619,-2.903070403,-2.869854147
SPINT1,0.030062761,-0.039066466,0.000105549,-0.039066466,-0.039066466
SPINT2,-0.132340071,-0.55175292,-0.551476432,-0.631709982,-0.39939069
